label,level,core,secondary_parent,expected_filename,exists,notes
Happy,core,Happy,,happy.png,True,
Playful,secondary,Happy,,playful.png,True,
Silly,tertiary,Happy,Playful,silly.png,True,
Cheeky,tertiary,Happy,Playful,cheeky.png,True,
Content,secondary,Happy,,content.png,True,
Free,tertiary,Happy,Content,free.png,True,
Joyful,tertiary,Happy,Content,joyful.png,True,
Interested,secondary,Happy,,interested.png,True,
Curious,tertiary,Happy,Interested,curious.png,True,
Inquisitive,tertiary,Happy,Interested,inquisitive.png,True,
Proud,secondary,Happy,,proud.png,True,
Successful,tertiary,Happy,Proud,successful.png,True,
Confident,tertiary,Happy,Proud,confident.png,True,
Accepted,secondary,Happy,,accepted.png,True,
Respected,tertiary,Happy,Accepted,respected.png,True,
Valued,tertiary,Happy,Accepted,valued.png,True,
Powerful,secondary,Happy,,powerful.png,True,
Courageous,tertiary,Happy,Powerful,courageous.png,True,
Creative,tertiary,Happy,Powerful,creative.png,True,
Peaceful,secondary,Happy,,peaceful.png,True,
Loving,tertiary,Happy,Peaceful,loving.png,True,
Thankful,tertiary,Happy,Peaceful,thankful.png,True,
Trusting,secondary,Happy,,trusting.png,True,
Sensitive,tertiary,Happy,Trusting,sensitive.png,True,
Connected,tertiary,Happy,Trusting,connected.png,True,
Optimistic,secondary,Happy,,optimistic.png,True,
Hopeful,tertiary,Happy,Optimistic,hopeful.png,True,
Inspired,tertiary,Happy,Optimistic,inspired.png,True,
Surprised,core,Surprised,,surprised.png,True,
Excited,secondary,Surprised,,excited.png,True,
Energetic,tertiary,Surprised,Excited,energetic.png,True,
Eager,tertiary,Surprised,Excited,eager.png,True,
Amazed,secondary,Surprised,,amazed.png,True,
Awe,tertiary,Surprised,Amazed,awe.png,True,
Astonished,tertiary,Surprised,Amazed,astonished.png,True,
Confused,secondary,Surprised,,confused.png,True,
Perplexed,tertiary,Surprised,Confused,perplexed.png,True,
Disillusioned,tertiary,Surprised,Confused,disillusioned.png,True,
Startled,secondary,Surprised,,startled.png,True,
Dismayed,tertiary,Surprised,Startled,dismayed.png,True,
Shocked,tertiary,Surprised,Startled,shocked.png,True,
Bad,core,Bad,,bad.png,True,
Tired,secondary,Bad,,tired.png,True,
Unfocused,tertiary,Bad,Tired,unfocused.png,True,
Sleepy,tertiary,Bad,Tired,sleepy.png,True,
Stressed,secondary,Bad,,stressed.png,True,
Out of Control,tertiary,Bad,Stressed,out_of_control.png,True,
Overwhelmed,tertiary,Bad,Stressed,overwhelmed.png,True,
Busy,secondary,Bad,,busy.png,True,
Rushed,tertiary,Bad,Busy,rushed.png,True,
Pressured,tertiary,Bad,Busy,pressured.png,True,
Bored,secondary,Bad,,bored.png,True,
Apathetic,tertiary,Bad,Bored,apathetic.png,True,
Indifferent,tertiary,Bad,Bored,indifferent.png,True,
Fearful,core,Fearful,,fearful.png,True,
Scared,secondary,Fearful,,scared.png,True,
Helpless,tertiary,Fearful,Scared,helpless.png,True,
Frightened,tertiary,Fearful,Scared,frightened.png,True,
Anxious,secondary,Fearful,,anxious.png,True,
Overwhelmed,tertiary,Fearful,Anxious,overwhelmed.png,True,
Worried,tertiary,Fearful,Anxious,worried.png,True,
Insecure,secondary,Fearful,,insecure.png,True,
Inadequate,tertiary,Fearful,Insecure,inadequate.png,True,
Inferior,tertiary,Fearful,Insecure,inferior.png,True,
Weak,secondary,Fearful,,weak.png,True,
Worthless,tertiary,Fearful,Weak,worthless.png,True,
Insignificant,tertiary,Fearful,Weak,insignificant.png,True,
Rejected,secondary,Fearful,,rejected.png,True,
Excluded,tertiary,Fearful,Rejected,excluded.png,True,
Persecuted,tertiary,Fearful,Rejected,persecuted.png,True,
Threatened,secondary,Fearful,,threatened.png,True,
Nervous,tertiary,Fearful,Threatened,nervous.png,True,
Exposed,tertiary,Fearful,Threatened,exposed.png,True,
Sad,core,Sad,,sad.png,True,
Vulnerable,secondary,Sad,,vulnerable.png,True,
Insecure,tertiary,Sad,Vulnerable,insecure.png,True,
Exposed,tertiary,Sad,Vulnerable,exposed.png,True,
Fragile,tertiary,Sad,Vulnerable,fragile.png,True,
Sensitive,tertiary,Sad,Vulnerable,sensitive.png,True,
Despair,secondary,Sad,,despair.png,True,
Hopeless,tertiary,Sad,Despair,hopeless.png,False,MISSING
Helpless,tertiary,Sad,Despair,helpless.png,True,
Powerless,tertiary,Sad,Despair,powerless.png,True,
Overwhelmed,tertiary,Sad,Despair,overwhelmed.png,True,
Guilty,secondary,Sad,,guilty.png,True,
Ashamed,tertiary,Sad,Guilty,ashamed.png,True,
Sorry,tertiary,Sad,Guilty,sorry.png,False,MISSING
Regretful,tertiary,Sad,Guilty,regretful.png,False,MISSING
Responsible,tertiary,Sad,Guilty,responsible.png,False,MISSING
Depressed,secondary,Sad,,depressed.png,True,
Empty,tertiary,Sad,Depressed,empty.png,True,
Numb,tertiary,Sad,Depressed,numb.png,True,
Drained,tertiary,Sad,Depressed,drained.png,False,MISSING
Low energy,tertiary,Sad,Depressed,low_energy.png,False,MISSING
Lonely,secondary,Sad,,lonely.png,False,
Left out,tertiary,Sad,Lonely,left_out.png,False,MISSING
Forgotten,tertiary,Sad,Lonely,forgotten.png,False,MISSING
Alone,tertiary,Sad,Lonely,alone.png,False,MISSING
Isolated,tertiary,Sad,Lonely,isolated.png,False,MISSING
Hurt,secondary,Sad,,hurt.png,False,
Disappointed,tertiary,Sad,Hurt,disappointed.png,True,
Let down,tertiary,Sad,Hurt,let_down.png,True,
Upset,tertiary,Sad,Hurt,upset.png,False,MISSING
Heartbroken,tertiary,Sad,Hurt,heartbroken.png,False,MISSING
Worried,secondary,Sad,,worried.png,True,
Nervous,tertiary,Sad,Worried,nervous.png,True,
Anxious,tertiary,Sad,Worried,anxious.png,True,
Stressed,tertiary,Sad,Worried,stressed.png,True,
Uneasy,tertiary,Sad,Worried,uneasy.png,False,MISSING
Disgusted,core,Disgusted,,disgusted.png,True,
Grossed Out,secondary,Disgusted,,grossed_out.png,False,
Yucky,tertiary,Disgusted,Grossed Out,yucky.png,False,MISSING
Icky,tertiary,Disgusted,Grossed Out,icky.png,False,MISSING
Nasty,tertiary,Disgusted,Grossed Out,nasty.png,False,MISSING
Eww,tertiary,Disgusted,Grossed Out,eww.png,False,MISSING
Uncomfortable,secondary,Disgusted,,uncomfortable.png,False,
Awkward,tertiary,Disgusted,Uncomfortable,awkward.png,False,MISSING
Uneasy,tertiary,Disgusted,Uncomfortable,uneasy.png,False,MISSING
Weird,tertiary,Disgusted,Uncomfortable,weird.png,False,MISSING
Off,tertiary,Disgusted,Uncomfortable,off.png,False,MISSING
Angry,core,Angry,,angry.png,True,
Let Down,secondary,Angry,,let_down.png,True,
Betrayed,tertiary,Angry,Let Down,betrayed.png,True,
Resentful,tertiary,Angry,Let Down,resentful.png,True,
Humiliated,secondary,Angry,,humiliated.png,True,
Disrespected,tertiary,Angry,Humiliated,disrespected.png,True,
Ridiculed,tertiary,Angry,Humiliated,ridiculed.png,True,
Bitter,secondary,Angry,,bitter.png,True,
Indignant,tertiary,Angry,Bitter,indignant.png,True,
Wronged,tertiary,Angry,Bitter,wronged.png,True,
Mad,secondary,Angry,,mad.png,True,
Furious,tertiary,Angry,Mad,furious.png,True,
Jealous,tertiary,Angry,Mad,jealous.png,True,
Aggressive,secondary,Angry,,aggressive.png,True,
Provoked,tertiary,Angry,Aggressive,provoked.png,True,
Hostile,tertiary,Angry,Aggressive,hostile.png,True,
Frustrated,secondary,Angry,,frustrated.png,True,
Infuriated,tertiary,Angry,Frustrated,infuriated.png,True,
Annoyed,tertiary,Angry,Frustrated,annoyed.png,True,
Distant,secondary,Angry,,distant.png,True,
Withdrawn,tertiary,Angry,Distant,withdrawn.png,True,
Numb,tertiary,Angry,Distant,numb.png,True,
Critical,secondary,Angry,,critical.png,True,
Judgmental,tertiary,Angry,Critical,judgmental.png,True,
Skeptical,tertiary,Angry,Critical,skeptical.png,True,
